AMC_name,Mutual Fund Name,return_1yr_avg,return_3yr_avg,return_5yr_avg
Aditya,Aditya Birla Sun Life Banking & Financial Services Fund Direct Growth,1.63,15.0,8.19
Aditya,Aditya Birla Sun Life Commodity Equities Fund Global Agri Plan Direct Growth,29.21,13.59,9.45
Aditya,Aditya Birla Sun Life Digital India Fund Direct Growth,-13.63,29.0,27.02
Aditya,Aditya Birla Sun Life Dividend Yield Fund Direct Growth,3.37,20.24,8.37
Aditya,Aditya Birla Sun Life Equity Advantage Fund Direct Growth,-7.52,19.36,8.51
Aditya,Aditya Birla Sun Life Flexi Cap Fund Direct Growth,-1.58,19.26,11.18
Aditya,Aditya Birla Sun Life Focused Equity Fund Direct Growth,1.6,18.56,11.41
Aditya,Aditya Birla Sun Life Frontline Equity Direct Fund Growth,3.02,18.52,11.19
Aditya,Aditya Birla Sun Life India GenNext Direct Fund Growth,8.23,22.89,15.09
Aditya,Aditya Birla Sun Life Infrastructure Direct Fund Growth,5.7,22.89,7.62
Aditya,Aditya Birla Sun Life International Equity Fund Plan A Direct Growth,-10.02,8.3,11.11
Aditya,Aditya Birla Sun Life International Equity Fund Plan B Direct Growth,26.07,15.65,12.41
Aditya,Aditya Birla Sun Life MNC Direct Fund Growth,-0.11,12.63,8.15
Aditya,Aditya Birla Sun Life Manufacturing Equity Fund Direct Growth,-1.25,19.06,8.76
Aditya,Aditya Birla Sun Life Mid Cap Direct Fund Growth,6.87,24.21,10.01
Aditya,Aditya Birla Sun Life Pure Value Direct Fund Growth,1.4,18.81,5.27
Aditya,Aditya Birla Sun Life Small Cap Fund Direct Growth,-1.67,23.25,7.78
Aditya,Aditya Birla Sun Life Tax Relief 96 Direct Growth,-1.47,13.75,8.83
Axis,Axis Bluechip Fund Direct Plan Growth,-4.07,16.87,14.55
Axis,Axis Focused 25 Direct Plan Growth,-8.87,16.94,12.64
Axis,Axis Long Term Equity Direct Plan Growth,-7.34,17.18,13.21
Axis,Axis Midcap Direct Plan Growth,2.45,26.9,18.88
Axis,Axis Small Cap Fund Direct Growth,11.35,32.0,21.46
BNP,BNP Paribas Multi Cap Fund Direct Growth,20.46,19.42,15.26
Bank,Bank of India Large & Mid Cap Equity Fund Direct Growth,4.53,22.7,11.69
Bank,Bank of India Manufacturing & Infrastructure Direct Growth,13.29,30.94,16.09
Bank,Bank of India Tax Advantage Direct Growth,0.29,28.45,16.1
Baroda,Baroda BNP Paribas Banking and Financial Services Direct Growth,5.4,12.42,9.18
Baroda,Baroda BNP Paribas ELSS Direct Growth,-0.43,17.85,11.22
Baroda,Baroda BNP Paribas Large Cap Fund Direct Growth,2.96,18.6,12.96
Baroda,Baroda BNP Paribas Midcap Direct Growth,5.62,28.66,13.96
Baroda,Baroda BNP Paribas Multi Cap Fund Direct Growth,4.43,23.8,13.01
Baroda,Baroda Equity Linked Saving Scheme 96 Direct Growth,18.49,17.55,12.53
Baroda,Baroda Large Cap Direct Fund Growth,6.97,14.64,11.35
Baroda,Baroda Midcap Direct Fund Growth,27.49,23.56,16.94
Canara,Canara Robeco Bluechip Equity Fund Direct Growth,0.28,21.62,15.22
Canara,Canara Robeco Consumer Trends Fund Direct Growth,10.39,26.07,16.91
Canara,Canara Robeco Emerging Equities Fund Direct Growth,3.19,25.61,14.49
Canara,Canara Robeco Equity Tax Saver Direct Growth,3.12,25.81,17.19
Canara,Canara Robeco Flexi Cap Fund Direct Growth,0.61,22.73,15.14
Canara,Canara Robeco Infrastructure Direct Growth,19.18,28.9,12.8
DSP,DSP Equity Opportunities Direct Plan Growth,0.3,20.82,12.45
DSP,DSP Flexi Cap Fund Direct Plan Growth,-3.22,20.51,13.36
DSP,DSP Focus Direct Plan Growth,-2.75,16.65,10.04
DSP,DSP Midcap Direct Plan Growth,-1.81,21.82,12.2
DSP,DSP Natural Resources and New Energy Fund Direct Plan Growth,-0.22,23.46,9.53
DSP,DSP Small Cap Direct Plan Growth,13.12,33.77,14.5
DSP,DSP Tax Saver Direct Plan Growth,2.14,21.94,13.86
DSP,DSP The Infrastructure Growth and Economic Reforms Regular Fund Direct Growth,12.83,23.82,12.19
DSP,DSP Top 100 Equity Direct Plan Growth,-3.23,15.11,8.78
Edelweiss,Edelweiss Flexi Cap Fund Direct Growth,5.23,21.59,14.42
Edelweiss,Edelweiss Large & Mid Cap Direct Plan Growth,7.12,24.41,15.76
Edelweiss,Edelweiss Large Cap Fund Direct Growth,1.53,18.76,13.62
Edelweiss,Edelweiss Long Term Equity Fund (Tax Savings) Direct Growth,4.66,19.9,12.12
Edelweiss,Edelweiss Mid Cap Direct Plan Growth,11.34,32.02,17.28
Franklin,Franklin Asian Equity Direct Fund Growth,-10.94,11.07,10.82
Franklin,Franklin Build India Direct Fund Growth,11.89,22.51,13.71
Franklin,Franklin India Bluechip Direct Fund Growth,0.01,18.49,10.68
Franklin,Franklin India Equity Advantage Fund Direct Growth,3.75,19.51,11.23
Franklin,Franklin India Flexi Cap Fund Direct Growth,8.1,22.75,13.08
Franklin,Franklin India Focused Equity Fund Direct Growth,8.82,22.56,14.65
Franklin,Franklin India Opportunities Direct Fund Growth,2.48,21.98,12.44
Franklin,Franklin India Prima Direct Fund Growth,1.07,20.74,11.67
Franklin,Franklin India Smaller Companies Direct Fund Growth,7.45,26.31,11.56
Franklin,Franklin India Taxshield Direct Growth,7.53,19.41,12.0
Franklin,Franklin India Technology Fund Direct Growth,-18.37,21.01,19.69
HDFC,HDFC Capital Builder Value Fund Direct Plan Growth,4.41,19.13,11.66
HDFC,HDFC Flexi Cap Direct Plan Growth,18.17,21.44,14.06
HDFC,HDFC Focused 30 Fund Direct Plan Growth,23.54,22.5,11.72
